Title,Lines,Genre,Year
Hamlet,4024,Tragedy,1600
Coriolanus,3824,Tragedy,1608
Cymbeline,3753,Romance,1610
Richard III,3718,History,1592
Antony and Cleopatra,3573,Tragedy,1607
Othello,3560,Tragedy,1604
King Lear,3499,Tragedy,1605
Troilus and Cressida,3486,Comedy,1601
Winter's Tale,3362,Romance,1611
"Henry IV, Part II",3255,History,1597
Henry VIII,3239,History,1613
Henry V,3227,History,1599
Two Noble Kinsmen,3220,Romance,1614
"Henry VI, Part II",3125,History,1591
Romeo and Juliet,3093,Tragedy,1596
"Henry IV, Part I",3041,History,1597
"Henry VI, Part III",2932,History,1591
All's Well That Ends Well,2927,Comedy,1604
Measure for Measure,2839,Comedy,1604
Richard II,2803,History,1596
Love's Labour's Lost,2758,Comedy,1595
"Henry VI, Part I",2702,History,1592
As You Like It,2670,Comedy,1599
Merchant of Venice,2662,Comedy,1597
King John,2648,History,1596
Taming of the Shrew,2641,Comedy,1589
Julius Caesar,2636,Tragedy,1599
Merry Wives of Windsor,2612,Comedy,1597
Much Ado About Nothing,2581,Comedy,1598
Titus Andronicus,2558,Tragedy,1592
Timon of Athens,2512,Tragedy,1606
Twelfth Night,2482,Comedy,1601
Macbeth,2477,Tragedy,1606
Pericles,2464,Romance,1608
Tempest,2275,Romance,1611
Two Gentlemen of Verona,2233,Comedy,1590
Midsummer Night's Dream,2165,Comedy,1595
Comedy of Errors,1786,Comedy,1594
